AÑO,TOTAL MATRICULADOS,MATRICULADOS MUJERES POR PROGRAMA,MATRICULADOS HOMBRES POR PROGRAMA,TOTAL MATRICULADOS PRIMER AÑO,MATRICULADOS MUJERES PRIMER AÑO,MATRICULADOS HOMBRES PRIMER AÑO,REGIÓN,PROVINCIA,COMUNA,NOMBRE CARRERA,ÁREA DEL CONOCIMIENTO,ÁREA CARRERA GENÉRICA
MAT_2024,77,24.0,53.0,7.0,2.0,5.0,Región Metropolitana,SANTIAGO,PROVIDENCIA,LICENCIATURA EN HISTORIA,Ciencias Sociales,Historia
MAT_2024,550,346.0,204.0,215.0,134.0,81.0,Región Metropolitana,SANTIAGO,PROVIDENCIA,PSICOLOGIA,Ciencias Sociales,Psicología
MAT_2024,82,65.0,17.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,PSICOLOGIA,Ciencias Sociales,Psicología
MAT_2024,704,567.0,137.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,PSICOLOGIA,Ciencias Sociales,Psicología
MAT_2024,7,7.0,,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,ENFERMERIA,Salud,Enfermería
MAT_2024,11,5.0,6.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,ANIMACION Y DISEÑO DIGITAL,Arte y Arquitectura,Animación Digital
MAT_2024,61,7.0,54.0,24.0,4.0,20.0,Región Metropolitana,SANTIAGO,PROVIDENCIA,INGENIERIA CIVIL INFORMATICA,Tecnología,Ingeniería Civil en Computación e Informática
MAT_2024,14,6.0,8.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,MAGISTER EN DOCENCIA PARA LA EDUCACION SUPERIOR,Educación,Magister en Educación
MAT_2024,109,53.0,56.0,18.0,8.0,10.0,Región Metropolitana,SANTIAGO,PROVIDENCIA,MAGISTER EN DOCENCIA PARA LA EDUCACION SUPERIOR,Educación,Magister en Educación
MAT_2024,19,9.0,10.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,MAGISTER EN DIRECCION COMERCIAL Y MARKETING,Administración y Comercio,Magister en Administración y Comercio
MAT_2024,1,,1.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,INGENIERIA EN ADMINISTRACION DE EMPRESAS,Administración y Comercio,Administración de Empresas e Ing. Asociadas
MAT_2024,84,42.0,42.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,INGENIERIA EN ADMINISTRACION DE EMPRESAS,Administración y Comercio,Administración de Empresas e Ing. Asociadas
MAT_2024,107,59.0,48.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,INGENIERIA EN ADMINISTRACION DE EMPRESAS,Administración y Comercio,Administración de Empresas e Ing. Asociadas
MAT_2024,100,88.0,12.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,TRABAJO SOCIAL,Ciencias Sociales,Trabajo Social
MAT_2024,114,94.0,20.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,TRABAJO SOCIAL,Ciencias Sociales,Trabajo Social
MAT_2024,27,12.0,15.0,5.0,1.0,4.0,Región Metropolitana,SANTIAGO,PROVIDENCIA,PERIODISMO,Ciencias Sociales,Periodismo
MAT_2024,1,,1.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,PERIODISMO,Ciencias Sociales,Periodismo
MAT_2024,4,3.0,1.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,PERIODISMO,Ciencias Sociales,Periodismo
MAT_2024,24,14.0,10.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,PERIODISMO,Ciencias Sociales,Periodismo
MAT_2024,53,21.0,32.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,PERIODISMO,Ciencias Sociales,Periodismo
MAT_2024,122,67.0,55.0,44.0,25.0,19.0,Región Metropolitana,SANTIAGO,PROVIDENCIA,DISEÑO EN ANIMACION DIGITAL,Arte y Arquitectura,Diseño Gráfico
MAT_2024,23,18.0,5.0,3.0,2.0,1.0,Región Metropolitana,SANTIAGO,PROVIDENCIA,DISEÑO EN INTERACCION DIGITAL,Arte y Arquitectura,Diseño Gráfico
MAT_2024,63,8.0,55.0,25.0,4.0,21.0,Región Metropolitana,SANTIAGO,PROVIDENCIA,DISEÑO DE VIDEOJUEGOS,Arte y Arquitectura,Diseño Gráfico
MAT_2024,19,14.0,5.0,8.0,7.0,1.0,Región Metropolitana,SANTIAGO,PROVIDENCIA,DISEÑO EN MARKETING DIGITAL,Arte y Arquitectura,Diseño Gráfico
MAT_2024,45,26.0,19.0,15.0,9.0,6.0,Región Metropolitana,SANTIAGO,PROVIDENCIA,ARQUITECTURA,Arte y Arquitectura,Arquitectura
MAT_2024,163,45.0,118.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,ARQUITECTURA,Arte y Arquitectura,Arquitectura
MAT_2024,31,6.0,25.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,ARQUITECTURA,Arte y Arquitectura,Arquitectura
MAT_2024,21,3.0,18.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,INGENIERIA EN COMPUTACION E INFORMATICA,Tecnología,Ingeniería en Computación e Informática
MAT_2024,16,4.0,12.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,INGENIERIA EN COMPUTACION E INFORMATICA,Tecnología,Ingeniería en Computación e Informática
MAT_2024,54,15.0,39.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,INGENIERIA EN COMPUTACION E INFORMATICA,Tecnología,Ingeniería en Computación e Informática
MAT_2024,67,10.0,57.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,INGENIERIA EN COMPUTACION E INFORMATICA,Tecnología,Ingeniería en Computación e Informática
MAT_2024,1,,1.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,INGENIERIA INDUSTRIAL,Tecnología,Ingeniería Industrial
MAT_2024,106,20.0,86.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,INGENIERIA INDUSTRIAL,Tecnología,Ingeniería Industrial
MAT_2024,101,29.0,72.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,INGENIERIA INDUSTRIAL,Tecnología,Ingeniería Industrial
MAT_2024,135,116.0,19.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,LICENCIATURA EN TRABAJO SOCIAL,Ciencias Sociales,Trabajo Social
MAT_2024,7,2.0,5.0,7.0,2.0,5.0,Región Metropolitana,SANTIAGO,PROVIDENCIA,DIPLOMADO EN GESTION DE EMPRESAS ON-LINE,Administración y Comercio,Postítulo en Administración y Comercio
MAT_2024,1,,1.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,INGENIERIA CIVIL INDUSTRIAL,Tecnología,Ingeniería Civil Industrial
MAT_2024,23,10.0,13.0,6.0,2.0,4.0,Región Metropolitana,SANTIAGO,PROVIDENCIA,INGENIERIA CIVIL INDUSTRIAL,Tecnología,Ingeniería Civil Industrial
MAT_2024,3,,3.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,INGENIERIA CIVIL INDUSTRIAL,Tecnología,Ingeniería Civil Industrial
MAT_2024,5,3.0,2.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,INGENIERIA CIVIL INDUSTRIAL,Tecnología,Ingeniería Civil Industrial
MAT_2024,122,20.0,102.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,INGENIERIA CIVIL INDUSTRIAL,Tecnología,Ingeniería Civil Industrial
MAT_2024,76,27.0,49.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,INGENIERIA CIVIL INDUSTRIAL,Tecnología,Ingeniería Civil Industrial
MAT_2024,5,3.0,2.0,5.0,3.0,2.0,Región Metropolitana,SANTIAGO,PROVIDENCIA,DIPLOMADO EN SALUD FAMILIAR ON-LINE,Salud,Postítulo en Salud
MAT_2024,2,,2.0,,,,Región Metropolitana,SANTIAGO,PROVIDENCIA,MAGISTER EN DIRECCION DE EMPRESAS (MBA EXECUTIVE),Administración y Comercio,Magister en Administración y Comercio
MAT_2024,62,20.0,42.0,8.0,2.0,6.0,Región Metropolitana,SANTIAGO,PROVIDENCIA,MAGISTER EN DIRECCION DE EMPRESAS (MBA EXECUTIVE),Administración y Comercio,Magister en Administración y Comercio
